week_start,commits,active_repos,commits_4w_avg,commits_8w_avg,commits_per_repo,commits_per_repo_4w_avg,core,docs,governance,sdks,tooling,core_4w_avg,docs_4w_avg,governance_4w_avg,sdks_4w_avg,tooling_4w_avg
2025-06-15 00:00:00+00:00,230,30,114.25,107.75,7.666666666666667,7.886904761904761,114.0,14.0,30.0,38.0,34.0,54.0,5.75,11.75,19.5,23.25
2025-06-21 23:00:00+00:00,0,0,114.25,107.75,,7.886904761904761,0.0,0.0,0.0,0.0,0.0,54.0,5.75,11.75,19.5,23.25
2025-06-22 00:00:00+00:00,200,22,107.5,108.5,9.090909090909092,8.378787878787879,94.0,6.0,23.0,38.0,39.0,52.0,5.0,13.25,19.0,18.25
2025-06-28 23:00:00+00:00,0,0,107.5,108.5,,8.378787878787879,0.0,0.0,0.0,0.0,0.0,52.0,5.0,13.25,19.0,18.25
2025-06-29 00:00:00+00:00,205,20,101.25,107.75,10.25,9.670454545454545,104.0,11.0,18.0,33.0,39.0,49.5,4.25,10.25,17.75,19.5
2025-07-05 23:00:00+00:00,0,0,101.25,107.75,,9.670454545454545,0.0,0.0,0.0,0.0,0.0,49.5,4.25,10.25,17.75,19.5
2025-07-06 00:00:00+00:00,231,29,109.0,108.25,7.9655172413793105,9.107758620689655,106.0,12.0,28.0,53.0,32.0,52.5,5.75,11.5,21.5,17.75
2025-07-12 23:00:00+00:00,0,0,109.0,108.25,,9.107758620689655,0.0,0.0,0.0,0.0,0.0,52.5,5.75,11.5,21.5,17.75
2025-07-13 00:00:00+00:00,209,22,110.0,105.625,9.5,8.732758620689655,86.0,18.0,31.0,39.0,35.0,48.0,7.5,14.75,23.0,16.75
2025-07-19 23:00:00+00:00,0,0,110.0,105.625,,8.732758620689655,0.0,0.0,0.0,0.0,0.0,48.0,7.5,14.75,23.0,16.75
2025-07-20 00:00:00+00:00,177,20,96.5,102.75,8.85,9.175,78.0,19.0,13.0,35.0,32.0,41.0,9.25,11.0,18.5,16.75
